S.No.,District,Block,Panchayat,Village id,Village,House Holds,House Connection
1,Bhandara,Bhandara,Ambadi,256508,Ambadi,635,434
2,Bhandara,Bhandara,Ambadi,593099,Girola,304,46
3,Bhandara,Bhandara,Ambadi,256509,Palgaon,144,11
4,Bhandara,Bhandara,Amgaon,256507,Amgaon,890,678
5,Bhandara,Bhandara,Arjuni (punarvasan),653953,Arjuni,307,130
6,Bhandara,Bhandara,Basora,256519,Basora,215,84
7,Bhandara,Bhandara,Bela,256513,Bela (CT) -0001,1679,1623
8,Bhandara,Bhandara,Belgaon,256522,Belgaon,170,170
9,Bhandara,Bhandara,Belgaon,593100,Kitadi,20,20
10,Bhandara,Bhandara,Berodi (punarvasan),653954,Berodi,260,96
11,Bhandara,Bhandara,Bhilewada,256521,Bhilewada,506,506
12,Bhandara,Bhandara,Bhojapur,256516,Bhojapur,1182,1182
13,Bhandara,Bhandara,Borgaon Bk. (punarvasan),256514,Borgaon Bk.,352,210
14,Bhandara,Bhandara,Borgaon Kh.,256515,Borgaon Kh.,320,320
15,Bhandara,Bhandara,Chandori,256529,Chandori,480,480
16,Bhandara,Bhandara,Chandori,256530,Koknagad,129,129
17,Bhandara,Bhandara,Chandori,256531,Singori,70,26
18,Bhandara,Bhandara,Chikhal Pahela,256523,Chikhal Pahela,104,18
19,Bhandara,Bhandara,Chikhal Pahela,256524,Sonegaon,90,90
20,Bhandara,Bhandara,Chikhal Pahela,256525,Yetewahi,65,62
21,Bhandara,Bhandara,Chikhali,256528,Chikhali,280,280
22,Bhandara,Bhandara,Chowa,256526,Chowa,305,80
23,Bhandara,Bhandara,Chowa,256527,Usaripar,102,7
24,Bhandara,Bhandara,Dabha,256542,Dabha,525,525
25,Bhandara,Bhandara,Dabha,256543,Jamni,122,122
26,Bhandara,Bhandara,Dawadipar Bela,256540,Dawadipar(be),332,332
27,Bhandara,Bhandara,Dawadipar/ba.,256541,Dawadipar(ba),377,164
28,Bhandara,Bhandara,Dawwa,256535,Dawwa,207,207
29,Bhandara,Bhandara,Dawwa,256537,Ganglewada,57,25
30,Bhandara,Bhandara,Dawwa,256536,Garada Jangli,123,83
31,Bhandara,Bhandara,Dhargaon,256533,Chintapur,146,146
32,Bhandara,Bhandara,Dhargaon,256532,Dhargaon,524,524
33,Bhandara,Bhandara,Dhargaon,256534,Kanhadmoh,42,21
34,Bhandara,Bhandara,Dighori,256539,Dighori,245,245
35,Bhandara,Bhandara,Dodmazari,256538,Dedmazari,248,71
36,Bhandara,Bhandara,Ganeshpur,256544,Ganeshpur (CT) -0001,2385,2284
37,Bhandara,Bhandara,Garada Bk.,256551,Garada Bk.,255,65
38,Bhandara,Bhandara,Garada Bk.,256552,Mendha,112,10
39,Bhandara,Bhandara,Garada Kh.,256550,Garada Kh.,255,69
40,Bhandara,Bhandara,Golewadi,256549,Dongargaon,68,21
41,Bhandara,Bhandara,Golewadi,256548,Golewadi,450,450
42,Bhandara,Bhandara,Gopiwada,256545,Gopiwada,742,742
43,Bhandara,Bhandara,Gopiwada,256546,Malegaon,69,56
44,Bhandara,Bhandara,Gunthara,256547,Gunthara,570,570
45,Bhandara,Bhandara,Hattidohi,256553,Hattidohi,268,268
46,Bhandara,Bhandara,Indurkha,256554,Indurkha,230,230
47,Bhandara,Bhandara,Itgaon (punarvasan),256555,Itgaon,185,185
48,Bhandara,Bhandara,Jakh,256557,Gunjepar,155,155
49,Bhandara,Bhandara,Jakh,256556,Jakh,166,166
50,Bhandara,Bhandara,Jakh,256558,Navegaon,56,56
51,Bhandara,Bhandara,Jamgaon-wadad Punarvasan,256559,Jamgaon,275,163
52,Bhandara,Bhandara,Jamgaon-wadad Punarvasan,256560,Maudi,180,180
53,Bhandara,Bhandara,Karachkheda,256568,Karachkheda,362,362
54,Bhandara,Bhandara,Karachkheda,256569,Nerodi,196,196
55,Bhandara,Bhandara,Kardha,256567,Kardha,1000,630
56,Bhandara,Bhandara,Kawadshi,256565,Kawadshi,410,410
57,Bhandara,Bhandara,Kawalewada,256577,Kawalewada,268,128
58,Bhandara,Bhandara,Kesalwada,256518,Kesalwada,949,804
59,Bhandara,Bhandara,Khairi,256571,Khairi,228,98
60,Bhandara,Bhandara,Khairi/be.,256570,Khairi,264,200
61,Bhandara,Bhandara,Khamari Buti,256576,Khamari,720,572
62,Bhandara,Bhandara,Khamata,256626,Khambata,148,35
63,Bhandara,Bhandara,Khamata,256625,Takali,108,32
64,Bhandara,Bhandara,Kharadi,256644,Kharadi,157,157
65,Bhandara,Bhandara,Kharbi,256564,Kharbi,774,774
66,Bhandara,Bhandara,Khokarla,626275,Khokurala,2000,1586
67,Bhandara,Bhandara,Khurshipar,256574,Khurshipar,306,194
68,Bhandara,Bhandara,Khurshipar,256575,Waghbodi,131,4
69,Bhandara,Bhandara,Koka,256637,Koka,573,455
70,Bhandara,Bhandara,Koka,256638,Nawegaon,69,8
71,Bhandara,Bhandara,Kondhi,256561,Kondhi,689,689
72,Bhandara,Bhandara,Kondhi,256562,Lohara,104,52
